Year,Month,Avg rainfall(in mm),Avg temp(in centigrade)
2010,JAN,69.5,0.8
2010,FEB,71.7,1.6
2010,MAR,65.1,5.5
2010,APR,21.4,8.2
2010,MAY,22.1,9.8
2010,JUN,42.7,14.3
2010,JUL,61.1,16.4
2010,AUG,76.6,14.6
2010,SEP,83.9,13.4
2010,OCT,65.0,9.6
2010,NOV,118.2,4.5
2010,DEC,40.7,-1.2
2011,JAN,54.5,3.1
2011,FEB,82.0,5.4
2011,MAR,20.5,6.0
2011,APR,10.3,10.7
2011,MAY,48.5,11.5
2011,JUN,62.9,13.5
2011,JUL,71.7,14.4
2011,AUG,94.1,14.6
2011,SEP,43.2,14.3
2011,OCT,62.1,11.4
2011,NOV,35.6,8.5
2011,DEC,76.2,4.5
2012,JAN,47.2,4.3
2012,FEB,24.2,3.9
2012,MAR,21.9,7.8
2012,APR,140.9,6.4
2012,MAY,62.3,10.3
2012,JUN,141.5,12.5
2012,JUL,96.3,14.6
2012,AUG,87.6,15.7
2012,SEP,95.3,12.5
2012,OCT,86.4,8.2
2012,NOV,111.8,5.8
2012,DEC,127.7,3.6
2013,JAN,69.8,2.8
2013,FEB,34.3,2.6
2013,MAR,60.1,1.9
2013,APR,22.1,6.8
2013,MAY,76.4,9.9
2013,JUN,40.8,12.9
2013,JUL,55.9,17.3
2013,AUG,61.2,16.2
2013,SEP,44.1,12.9
2013,OCT,111.5,11.6
2013,NOV,52.5,5.3
2013,DEC,76.7,5.4
2014,JAN,118.5,4.5
2014,FEB,81.8,5.3
2014,MAR,44.2,6.8
2014,APR,42.0,9.3
2014,MAY,104.4,11.5
2014,JUN,45.5,14.3
2014,JUL,54.7,16.7
2014,AUG,96.2,14.4
2014,SEP,18.2,13.9
2014,OCT,83.0,11.3
2014,NOV,81.6,7.6
2014,DEC,61.1,4.4
2015,JAN,62.7,3.5
2015,FEB,37.0,3.5
2015,MAR,45.6,5.6
2015,APR,25.6,8.0
2015,MAY,82.5,10.0
2015,JUN,34.9,12.9
2015,JUL,85.3,14.9
2015,AUG,73.2,15.4
2015,SEP,39.1,12.0
2015,OCT,65.0,10.1
2015,NOV,116.6,8.1
2015,DEC,148.0,8.0
2016,JAN,121.7,4.4
2016,FEB,53.0,3.9
2016,MAR,66.3,5.3
2016,APR,70.3,6.4
2016,MAY,36.2,11.0
2016,JUN,76.5,13.5
2016,JUL,51.2,16.0
2016,AUG,73.2,16.0
2016,SEP,48.6,15.2
2016,OCT,50.1,10.2
2016,NOV,93.1,4.8
2016,DEC,37.9,5.6
2017,JAN,39.4,3.3
2017,FEB,65.9,5.3
2017,MAR,63.9,7.6
2017,APR,19.4,8.2
2017,MAY,42.9,12.2
2017,JUN,116.0,15.1
2017,JUL,81.7,15.4
2017,AUG,64.4,15.0
2017,SEP,85.0,12.9
2017,OCT,50.1,11.6
2017,NOV,69.1,5.8
2017,DEC,56.8,3.8
2018,JAN,71.5,4.1
2018,FEB,46.7,2.1
2018,MAR,95.3,3.8
2018,APR,78.2,8.6
2018,MAY,35.5,12.2
2018,JUN,26.6,14.6
2018,JUL,42.6,17.8
2018,AUG,57.7,16.2
2018,SEP,58.6,13.0
2018,OCT,66.3,10.0
2018,NOV,71.6,7.4
2018,DEC,71.0,5.4
2019,JAN,22.8,3.4
2019,FEB,36.2,6.0
2019,MAR,82.2,7.0
2019,APR,27.7,7.8
2019,MAY,52.1,10.3
2019,JUN,114.3,13.4
2019,JUL,75.6,17.0
2019,AUG,89.1,16.5
2019,SEP,104.9,13.4
2019,OCT,115.4,8.8
2019,NOV,124.0,5.6
2019,DEC,61.4,4.9
